Algorithm,Map Type,Planning Time Mean,Planning Time Std,Planning Time Min,Planning Time Max,Path Length Mean,Path Length Std,Path Length Min,Path Length Max,Iterations Mean,Iterations Std,Iterations Min,Iterations Max,Success Rate,NPS Score
rrt,diagonal,0.54,0.13,0.37,0.73,342.50,23.48,295.00,370.00,1011.90,221.25,726.00,1435.00,100.00,0.0048
rrt_star,diagonal,0.60,0.22,0.42,1.19,310.76,16.81,288.82,342.18,945.30,284.83,645.00,1690.00,100.00,0.0052
cmn_rrt_star,diagonal,1.53,0.37,1.03,2.11,312.44,13.65,296.24,342.27,642.30,159.50,434.00,988.00,100.00,0.0075
rrt,empty,0.06,0.01,0.04,0.08,216.00,9.66,200.00,235.00,128.10,19.89,104.00,169.00,100.00,0.0347
rrt_star,empty,0.08,0.06,0.04,0.25,204.94,3.64,197.49,211.35,134.70,24.48,102.00,174.00,100.00,0.0333
cmn_rrt_star,empty,0.11,0.08,0.05,0.29,202.11,7.37,192.94,218.10,46.00,15.62,28.00,78.00,100.00,0.0811
rrt,labyrinth,0.34,0.16,0.17,0.69,348.50,34.40,310.00,410.00,1152.40,372.45,663.00,1873.00,100.00,0.0042
rrt_star,labyrinth,0.33,0.15,0.18,0.68,325.15,24.38,298.32,386.02,1006.20,375.70,454.00,1806.00,100.00,0.0049
cmn_rrt_star,labyrinth,0.91,0.23,0.62,1.31,317.14,27.63,288.79,375.07,657.00,217.42,391.00,1103.00,100.00,0.0073
rrt,random_polygons,0.22,0.11,0.12,0.47,247.00,27.00,215.00,285.00,254.50,134.16,135.00,574.00,100.00,0.0183
rrt_star,random_polygons,0.40,0.10,0.25,0.54,228.84,18.78,205.95,252.35,234.50,70.42,145.00,333.00,100.00,0.0198
cmn_rrt_star,random_polygons,0.48,0.19,0.33,0.85,229.48,23.24,204.32,273.08,88.80,56.27,28.00,219.00,100.00,0.0464
rrt,rectangles,0.06,0.02,0.04,0.09,214.00,6.99,200.00,220.00,138.90,30.95,96.00,201.00,100.00,0.0323
rrt_star,rectangles,0.07,0.01,0.05,0.08,203.51,8.22,192.37,216.45,125.90,17.10,102.00,156.00,100.00,0.0354
cmn_rrt_star,rectangles,0.16,0.10,0.06,0.34,199.91,13.10,188.80,227.56,50.80,23.29,24.00,90.00,100.00,0.0751